item,image
0,https://images-na.ssl-images-amazon.com/images/I/411pN-UFIwL.jpg
1,https://images-na.ssl-images-amazon.com/images/I/51Vuqtz-xUL.jpg
2,https://images-na.ssl-images-amazon.com/images/I/51AyPX%2B6njL.jpg
3,https://images-na.ssl-images-amazon.com/images/I/41tdiGSJzZL.jpg
4,https://images-na.ssl-images-amazon.com/images/I/41GZrM2tdTL.jpg
5,https://images-na.ssl-images-amazon.com/images/I/415N0Weh9ML.jpg
6,https://images-na.ssl-images-amazon.com/images/I/41BjIW%2BWXzL.jpg
7,https://images-na.ssl-images-amazon.com/images/I/51e4WduOHOL.jpg
8,https://images-na.ssl-images-amazon.com/images/I/41g2t4-kgyL.jpg
9,https://images-na.ssl-images-amazon.com/images/I/41ZfY1kPT-L.jpg
10,https://images-na.ssl-images-amazon.com/images/I/319WdEPqi5L.jpg
